Country,Query,Status,Match,Notes,ISO,Country.Name,WHO_Region
Marshall Islands,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,MHL,Marshall Islands,WPRO
Marshall Islands,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,MHL,Marshall Islands,WPRO
Mauritania,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,MRT,Mauritania,AFRO
Mauritania,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,MRT,Mauritania,AFRO
Mauritius,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,MUS,Mauritius,AFRO
Mauritius,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,MUS,Mauritius,AFRO
Mexico,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,MEX,Mexico,AMRO
Mexico,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,MEX,Mexico,AMRO
Micronesia (Federated States of Micronesia),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,FSM,Micronesia (Federated States of),WPRO
Micronesia (Federated States of Micronesia),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,FSM,Micronesia (Federated States of),WPRO
Monaco,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,MCO,Monaco,EURO
Monaco,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,MCO,Monaco,EURO
Mongolia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,MNG,Mongolia,WPRO
Mongolia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,MNG,Mongolia,WPRO
Montenegro,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Misses Information,,MNE,Montenegro,EURO
Montenegro,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Misses Information,,MNE,Montenegro,EURO
Morocco,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,MAR,Morocco,EMRO
Morocco,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,MAR,Morocco,EMRO
Mozambique,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,MOZ,Mozambique,AFRO
Mozambique,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,MOZ,Mozambique,AFRO
Myanmar (Burma),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,MMR,Myanmar,SEARO
Myanmar (Burma),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,MMR,Myanmar,SEARO
Namibia,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,NAM,Namibia,AFRO
Namibia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,NAM,Namibia,AFRO
Nauru,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,NRU,Nauru,WPRO
Nauru,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,NRU,Nauru,WPRO
Nepal,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,NPL,Nepal,SEARO
Nepal,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,NPL,Nepal,SEARO
Netherlands,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,NLD,Netherlands,EURO
Netherlands,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,NLD,Netherlands,EURO
New Zealand,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,NZL,New Zealand,WPRO
New Zealand,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,NZL,New Zealand,WPRO
Nicaragua,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,NIC,Nicaragua,AMRO
Nicaragua,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,NIC,Nicaragua,AMRO
Niger,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,NER,Niger,AFRO
Niger,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,NER,Niger,AFRO
Nigeria,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,NGA,Nigeria,AFRO
Nigeria,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No: GAI Provides Incorrect Information,State level,NGA,Nigeria,AFRO
Niue,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,NIU,Niue,WPRO
Niue,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,NIU,Niue,WPRO
North Macedonia (Macedonia; FYROM),1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,MKD,North Macedonia,EURO
North Macedonia (Macedonia; FYROM),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,MKD,North Macedonia,EURO
Norway,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,NOR,Norway,EURO
Norway,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest including,No: GAI Provides More Information,,NOR,Norway,EURO
Oman,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,OMN,Oman,EMRO
Oman,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,OMN,Oman,EMRO
Pakistan,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,PAK,Pakistan,EMRO
Pakistan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No: GAI Provides Incorrect Information,province level laws,PAK,Pakistan,EMRO
Palau,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,PLW,Palau,WPRO
Palau,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,PLW,Palau,WPRO
Panama,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,PAN,Panama,AMRO
Panama,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,PAN,Panama,AMRO
Papua New Guinea,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,PNG,Papua New Guinea,WPRO
Papua New Guinea,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,PNG,Papua New Guinea,WPRO
Paraguay,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,PRY,Paraguay,AMRO
Paraguay,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,PRY,Paraguay,AMRO
Peru,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,PER,Peru,AMRO
Peru,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,PER,Peru,AMRO
